,0
1428,8153283191
1429,8153283175
1430,8153283179
1431,8153283178
1432,8153283177
1433,8153283195
1434,8153283176
1435,8153283192
1436,8153283188
1437,8153283189
1438,8153283190
1439,7045877210
1440,8153283187
1441,7045877211
1442,7045877212
1443,7045877213
1444,7045877209
1445,7045877214
1446,7045877215
1447,613503017
1448,8153283206
1449,7045877216
1450,8153283205
1451,7045877217
1452,8153283204
1453,7045877218
1454,8153283203
1455,7045877219
1456,8153283202
1457,7045877220
1458,8153283207
1459,8153283201
1460,7045877221
1461,8153283208
1462,613503018
1463,8153283209
1464,7045877222
1465,8153283210
1466,7045877223
1467,7045877224
1468,7045877225
1469,8153283211
1470,7045877226
1471,8153283212
1472,8153283213
1473,8153319920
1474,8153319919
1475,8153319918
1476,8153319917
1477,8153283215
1478,8153319921
1479,8153283214
1480,8153283216
1481,8153319924
1482,8153319923
1483,8153319925
1484,8153319922
1485,613503019
1486,8153319930
1487,8153319929
1488,8153319928
1489,8153319927
1490,8153319926
1491,7045877242
1492,8153319951
1493,8153319952
1494,8153319953
1495,8153319954
1496,8153319955
1497,8153319957
1498,8153319958
1499,8153319959
1500,613503011
1501,869883958
1502,869883963
1503,869883967
1504,869883973
1505,1591167810
1506,1591167831
1507,1591167823
1508,1591167807
1509,869883976
1510,869883977
1511,869883981
1512,1504266631
1513,1504266627
1514,869883983
1515,1504266699
1516,1504266718
1517,869883984
1518,1504266689
1519,1504266685
1520,869883988
1521,1504266657
1522,1504266680
1523,869883990
1524,869883991
1525,869883994
1526,869883998
1527,869884001
1528,869884002
1529,869884004
1530,869884008
1531,1504266790
1532,1504266752
1533,1504266749
1534,1504266797
1535,869883958
1536,1588620616
1537,869894335
1538,869894337
1539,1588620573
1540,869894313
1541,1588620506
1542,1588620519
1543,5037967421
1544,1588620521
1545,1588620504
1546,1588620523
1547,1588620524
1548,1588620508
1549,1588620511
1550,1588620525
1551,1588620526
1552,1588620552
1553,1588620569
1554,1588620583
1555,1588620595
1556,1588620605
1557,869894323
1558,1588620620
1559,1588620629
1560,1588620646
1561,869894324
1562,869894325
1563,869894327
1564,869894329
1565,869894331
1566,1588620633
1567,1588620616
1568,928349581
1569,928349075
1570,928349432
1571,928349530
1572,928349581
1573,928349574
1574,928349239
1575,928349133
1576,928349473
1577,928349430
1578,928349386
1579,928349188
1580,928349283
1581,928349574
1582,928349141
1583,928349022
1584,928349342
1585,928349621
1586,928349569
1587,928349519
1588,928349333
1589,928349244
1590,928349141
1591,928404328
1592,928404718
1593,928404321
1594,928404363
1595,928404328
1596,928404802
1597,928404702
1598,928404438
1599,928404576
1600,928404611
1601,928404862
1602,928404546
1603,928404741
1604,928404800
1605,928404386
1606,928404695
1607,928404910
1608,928404349
1609,928404510
1610,928404368
1611,928404531
1612,928404562
1613,928404772
1614,928404492
1615,928404647
1616,928404802
1617,933305264
1618,933305232
1619,933305253
1620,933305338
1621,933305343
1622,933305405
1623,933305415
1624,933305416
1625,933305318
1626,933305327
1627,933305288
1628,933305297
1629,933305181
1630,933305190
1631,933305394
1632,933305159
1633,933305354
1634,933305170
1635,933305373
1636,933305143
1637,933305264
1638,933305224
1639,933305347
1640,933305154
1641,933305275
1642,933305395
1643,933305206
1644,933305341
1645,933305329
1646,933305437
1647,933305432
1648,933305258
1649,933305379
1650,933305184
1651,933305311
1652,933305418
1653,933305236
1654,933305356
1655,933305160
1656,933305158
1657,933305286
1658,933305402
1659,933305211
1660,933305224
1661,933305223
1662,933305237
1663,933305426
1664,933305434
1665,933305223
1666,933305337
1667,933305142
1668,933305263
1669,933305388
1670,933305337
1671,939002868
1672,8163238455
1673,939003044
1674,8163238456
1675,939002690
1676,8163238463
1677,8163238458
1678,8163238462
1679,8163238457
1680,8163238461
1681,8163238460
1682,8163238459
1683,939002914
1684,8163238451
1685,939003110
1686,939002731
1687,939002955
1688,8163238450
1689,8163238449
1690,939002607
1691,8163238453
1692,8163238454
1693,939002817
1694,8163238452
1695,939002868
1696,939002848
1697,8166690071
1698,8166690070
1699,2825821114
1700,8166690080
1701,2825821109
1702,8166690082
1703,8166690069
1704,8166690083
1705,8166690081
1706,939003030
1707,8166690084
1708,939002679
1709,8166690085
1710,939002896
1711,3258519728
1712,8166690086
1713,8166690068
1714,3258519727
1715,2825821103
1716,939003069
1717,8166690078
1718,939002718
1719,8166690087
1720,8166690079
1721,2825821118
1722,8166690077
1723,8166690076
1724,8166690075
1725,8166690072
1726,8166690074
1727,8166690073
1728,939002848
1729,939011551
1730,8156813264
1731,8156813263
1732,8156813262
1733,939011723
1734,8156813261
1735,8156813260
1736,8156813259
1737,8156813258
1738,8156813257
1739,8156813256
1740,8156813255
1741,8156813254
1742,8156813251
1743,8156813253
1744,8156813252
1745,939011919
1746,8156813249
1747,8156813250
1748,8156813247
1749,8156813248
1750,939012160
1751,8156813246
1752,8156813244
1753,8156813245
1754,8156813228
1755,939011760
1756,8156813227
1757,939012030
1758,8156813232
1759,8156813230
1760,8156813231
1761,939011685
1762,8156813233
1763,8156813229
1764,8156813234
1765,8156813235
1766,8156813226
1767,8156813236
1768,939011951
1769,8156813243
1770,8156813242
1771,8156813241
1772,939011561
1773,8156813240
1774,8156813239
1775,8156813237
1776,8156813265
1777,8156813238
1778,939011551
1779,939011857
1780,8157532306
1781,2760196804
1782,8157532305
1783,8157532304
1784,939011923
1785,8157532303
1786,8157532302
1787,2760196798
1788,8157532301
1789,8157532300
1790,8157532299
1791,2760196797
1792,8157532298
1793,939012163
1794,8157532295
1795,8157532296
1796,2760196794
1797,8157532294
1798,8157532318
1799,8157532297
1800,939011765
1801,8157532319
1802,2760196791
1803,8157532339
1804,2760196788
1805,8157532340
1806,2760196785
1807,2760196783
1808,2760196782
1809,8157532341
1810,939011972
1811,2760196780
1812,939011581
1813,8157532342
1814,8157532327
1815,2760196776
1816,8157532328
1817,8157532343
1818,8157532344
1819,8157532329
1820,8157532330
1821,8157532332
1822,8157532333
1823,939011806
1824,8157532334
1825,8157532331
1826,8157532335
1827,8157532336
1828,8157532337
1829,8157532338
1830,8157532326
1831,8157532325
1832,8157532324
1833,8157532323
1834,2760196789
1835,8157532322
1836,8157532320
1837,8157532321
1838,939012069
1839,8157532317
1840,2760196796
1841,8157532316
1842,8157532314
1843,939012122
1844,8157532315
1845,2760196802
1846,8157532307
1847,8157532313
1848,8157532308
1849,2760196806
1850,8157532312
1851,8157532311
1852,8157532310
1853,8157532309
1854,939011857
1855,939011624
1856,8156813147
1857,8156813146
1858,8156813145
1859,8156813144
1860,8156813143
1861,8156813142
1862,8156813141
1863,8156813137
1864,8156813140
1865,8156813138
1866,939011800
1867,8156813139
1868,8156813136
1869,8156813135
1870,8156813134
1871,8156813131
1872,8156813132
1873,8156813133
1874,8156813127
1875,939012066
1876,8156813130
1877,8156813129
1878,8156813126
1879,8156813128
1880,8156813124
1881,8156813125
1882,8156813123
1883,8156813119
1884,8156813122
1885,939011665
1886,8156813121
1887,8156813120
1888,939011842
1889,8156813118
1890,8156813117
1891,8156812616
1892,8156812615
1893,8156812614
1894,8156812613
1895,939012102
1896,8156812612
1897,8156812611
1898,8156812608
1899,8156812610
1900,8156812609
1901,8156812607
1902,8156812606
1903,8156812602
1904,8156812605
1905,8156812603
1906,8156812604
1907,939011701
1908,8156812600
1909,8156812601
1910,8156812599
1911,939011966
1912,8156812598
1913,8156813172
1914,8156812597
1915,939011866
1916,8156813171
1917,8156813173
1918,939012127
1919,8156813174
