,lat_from,lon_from,lat_to,lon_to
14386,53.7164088,91.4882965,53.7164706,91.4880936
14387,53.7164706,91.4880936,53.7166913,91.4880088
14388,53.7166913,91.4880088,53.7167550,91.4880548
14389,53.7167550,91.4880548,53.7168094,91.4881448
14390,53.7168094,91.4881448,53.7169023,91.4881787
14391,53.7169023,91.4881787,53.7169419,91.4880881
14392,53.7169419,91.4880881,53.7169867,91.4880702
14393,53.7169867,91.4880702,53.7170317,91.4879646
14394,53.7170317,91.4879646,53.7170766,91.4879562
14395,53.7170766,91.4879562,53.7171166,91.4880237
14396,53.7171166,91.4880237,53.7170367,91.4881630
14397,53.7170367,91.4881630,53.7170427,91.4882231
14398,53.7170427,91.4882231,53.7170691,91.4882601
14399,53.7170691,91.4882601,53.7171367,91.4881986
14400,53.7171367,91.4881986,53.7171940,91.4881884
14401,53.7171940,91.4881884,53.7173140,91.4879900
14402,53.7173140,91.4879900,53.7173599,91.4879636
14403,53.7173599,91.4879636,53.7174284,91.4879287
14404,53.7174284,91.4879287,53.7174928,91.4879225
14405,53.7174928,91.4879225,53.7175097,91.4879478
14406,53.7175097,91.4879478,53.7174959,91.4879995
14407,53.7174959,91.4879995,53.7174183,91.4880800
14408,53.7174183,91.4880800,53.7174097,91.4881410
14409,53.7174097,91.4881410,53.7174306,91.4881800
14410,53.7174306,91.4881800,53.7173595,91.4883077
14411,53.7173595,91.4883077,53.7174182,91.4882755
14412,53.7174182,91.4882755,53.7174990,91.4882346
14413,53.7174990,91.4882346,53.7175600,91.4882077
14414,53.7175600,91.4882077,53.7176094,91.4881316
14415,53.7176094,91.4881316,53.7176306,91.4880137
14416,53.7176306,91.4880137,53.7176704,91.4879167
14417,53.7176704,91.4879167,53.7177392,91.4879794
14418,53.7177392,91.4879794,53.7178059,91.4880687
14419,53.7178059,91.4880687,53.7179420,91.4879803
14420,53.7179420,91.4879803,53.7180273,91.4878455
